IdentificacaoParlamentar/CodigoParlamentar;IdentificacaoParlamentar/NomeParlamentar;IdentificacaoParlamentar/NomeCompletoParlamentar;IdentificacaoParlamentar/SexoParlamentar;IdentificacaoParlamentar/FormaTratamento;IdentificacaoParlamentar/UrlFotoParlamentar;IdentificacaoParlamentar/UrlPaginaParlamentar;IdentificacaoParlamentar/EmailParlamentar;IdentificacaoParlamentar/SiglaPartidoParlamentar;IdentificacaoParlamentar/UfParlamentar;Mandato/CodigoMandato;Mandato/UfParlamentar;Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;Mandato/PrimeiraLegislaturaDoMandato/DataInicio;Mandato/PrimeiraLegislaturaDoMandato/DataFim;Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;Mandato/SegundaLegislaturaDoMandato/DataInicio;Mandato/SegundaLegislaturaDoMandato/DataFim;Mandato/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/CodigoParlamentar;Mandato/Suplentes/Suplente/0/NomeParlamentar;Mandato/Suplentes/Suplente/1/DescricaoParticipacao;Mandato/Suplentes/Suplente/1/CodigoParlamentar;Mandato/Suplentes/Suplente/1/NomeParlamentar;Mandato/Exercicios/Exercicio/0/CodigoExercicio;Mandato/Exercicios/Exercicio/0/DataInicio;Mandato/Exercicios/Exercicio/1/CodigoExercicio;Mandato/Exercicios/Exercicio/1/DataInicio;Mandato/Exercicios/Exercicio/1/DataFim;Mandato/Exercicios/Exercicio/1/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/1/DescricaoCausaAfastamento;UrlGlossario;Mandato/Titular/DescricaoParticipacao;Mandato/Titular/CodigoParlamentar;Mandato/Titular/NomeParlamentar;Mandato/Exercicios/Exercicio/2/CodigoExercicio;Mandato/Exercicios/Exercicio/2/DataInicio;Mandato/Exercicios/Exercicio/2/DataFim;Mandato/Exercicios/Exercicio/2/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/2/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/0/DataLeitura;Mandato/Exercicios/Exercicio/1/DataLeitura;Mandato/Exercicios/Exercicio/3/CodigoExercicio;Mandato/Exercicios/Exercicio/3/DataInicio;Mandato/Exercicios/Exercicio/3/DataFim;Mandato/Exercicios/Exercicio/3/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/3/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/4/CodigoExercicio;Mandato/Exercicios/Exercicio/4/DataInicio;Mandato/Exercicios/Exercicio/4/DataFim;Mandato/Exercicios/Exercicio/4/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/4/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/2/DataLeitura
739;Ciro Nogueira;Ciro Nogueira Lima Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/739;ciro.nogueira@senador.leg.br;PP;PI;458;PI;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5186;João Claudino Fernandes;2º Suplente;5188;José Amauri;2587;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3398;Cristovam Buarque;Cristovam Ricardo Cavalcanti Buarque;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3398.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3398;cristovam.buarque@senador.leg.br;PPS;DF;452;DF;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5096;Wilmar Lacerda;2º Suplente;5098;Roberto Wagner Monteiro;2588;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5197;Cássio Cunha Lima;Cássio Rodrigues da Cunha Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5197.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5197;cassio.cunha.lima@senador.leg.br;PSDB;PB;489;PB;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5199;Deca;2º Suplente;1757;Cunha Lima;2808;2017-01-05;2651;2011-11-08;2016-09-07;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;2011-11-08;;;;;;;;;;;
5132;Dalirio Beber;Dalírio José Beber;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5132.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5132;dalirio.beber@senador.leg.br;PSDB;SC;465;SC;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5134;Antônio Marcos Gavazzoni;;;;2762;2015-05-19;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;5002;Luiz Henrique;;;;;;;;;;;;;;;;;;
3830;Davi Alcolumbre;David Samuel Alcolumbre Tobelem;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830;davi.alcolumbre@senador.leg.br;DEM;AP;501;AP;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5569;Josiel;2º Suplente;5571;Marquinho;2732;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5537;Dário Berger;Dário Elias Berger;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537;dario.berger@senador.leg.br;PMDB;SC;499;SC;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;824;Paulo Gouvêa;2º Suplente;5631;Ayres Marchetti;2731;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4721;Eduardo Amorim;Eduardo Alves do Amorim;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4721.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4721;eduardo.amorim@senador.leg.br;PSDB;SE;478;SE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5156;Lauro Antonio;2º Suplente;5158;Kaká Andrade;2716;2014-11-22;2662;2012-04-05;2014-07-21;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;2592;2011-02-01;2011-12-05;LSP;Licença Saúde-Particular;;;;;;;;;;;;;
4994;Eduardo Braga;Carlos Eduardo de Souza Braga;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994;eduardo.braga@senador.leg.br;PMDB;AM;473;AM;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5038;Sandra Braga;2º Suplente;5040;Lirio Albino Parisotto;2775;2016-04-22;2593;2011-02-01;2015-01-01;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;2016-04-22;;;;;;;;;;;;
4767;Eduardo Lopes;Eduardo Benedito Lopes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4767.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4767;eduardo.lopes@senador.leg.br;PRB;RJ;480;RJ;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5068;Tânia Cristina Magalhães Bastos e Silva;;;;2809;2017-01-02;2793;2016-06-06;2016-09-30;RET;Retorno do titular;http://legis.senado.leg.br/dadosabertos/senador/;Titular;3366;Marcelo Crivella;2661;2012-03-06;2014-03-14;RET;Retorno do titular;;;;;;;;;;;;;2014-03-14
4969;Elber Batalha;Elber Batalha de Goes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4969.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4969;;PSB;SE;474;SE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;2º Suplente;1º Suplente;43;José Eduardo Dutra;;;;2843;2017-11-22;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;3;Antonio Carlos Valadares;;;;;;2017-11-22;;;;;;;;;;;;
5531;Elmano Férrer;Elmano Férrer de Almeida;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531;elmano.ferrer@senador.leg.br;PMDB;PI;496;PI;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5849;Jose Amauri P. de Araújo;2º Suplente;5607;Alzenir Porto;2734;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
612;Eunício Oliveira;Eunício Lopes de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador612.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/612;eunicio.oliveira@senador.leg.br;PMDB;CE;450;CE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5082;Waldemir Catanho de Sena Júnior;2º Suplente;5086;Miguel Dias de Souza;2594;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5540;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540;fernandobezerracoelho@senador.leg.br;PMDB;PE;519;PE;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5603;Carlos Augusto Costa;2º Suplente;5605;Eliane Rodrigues;2736;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4525;Fernando Collor;Fernando Affonso Collor de Mello;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525;fernando.collor@senador.leg.br;PTC;AL;511;AL;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5561;Drª Renilde;2º Suplente;5563;Severino Leão;2756;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3634;Flexa Ribeiro;Fernando de Souza Flexa Ribeiro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3634.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3634;flexa.ribeiro@senador.leg.br;PSDB;PA;487;PA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;380;Nicias Ribeiro;2º Suplente;5154;Abiancy Cadoso Rosa;2595;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3713;Fátima Bezerra;Maria de Fátima Bezerra;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3713.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3713;fatima.bezerra@senadora.leg.br;PT;RN;510;RN;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5627;Jean-Paul Prates;2º Suplente;5629;Theodorico Netto;2735;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
87;Garibaldi Alves Filho;Garibaldi Alves Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador87.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/87;garibaldi.alves@senador.leg.br;PMDB;RN;476;RN;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5020;Paulo Davim;2º Suplente;5022;Janduhy Max Freire de Andrade;2725;2015-01-01;2596;2011-02-01;2011-02-01;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;2011-02-02;;;;;;;;;;;
4558;Gladson Cameli;Gladson de Lima Cameli;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4558.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4558;gladson.cameli@senador.leg.br;PP;AC;500;AC;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5557;Mailza Gomes;2º Suplente;5559;Bispo José;2737;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5006;Gleisi Hoffmann;Gleisi Helena Hoffmann;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5006.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5006;gleisi@senadora.leg.br;PT;PR;439;PR;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5048;Sergio Souza;2º Suplente;5050;Pedro Irno Tonelli;2693;2014-02-03;2598;2011-02-01;2011-06-08;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;2014-02-03;2011-06-08;;;;;;;;;;;
5008;Humberto Costa;Humberto Sérgio Costa Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008;humberto.costa@senador.leg.br;PT;PE;448;PE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;724;Joaquim Francisco;2º Suplente;5174;Maria de Pompeia Lins Pessoa;2599;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5100;Hélio José;Hélio José da Silva Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5100.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5100;heliojose@senador.leg.br;PROS;DF;470;DF;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5104;Luis Cláudio da Costa Avelar;;;;2726;2015-01-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;4593;Rodrigo Rollemberg;;;;;;;;;;;;;;;;;;
5004;Ivo Cassol;Ivo Narciso Cassol;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5004.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5004;ivo.cassol@senador.leg.br;PP;RO;477;RO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5072;Reditario Cassol;2º Suplente;64;Odacir Soares;2712;2014-11-13;2652;2011-11-14;2014-07-15;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;2601;2011-02-01;2011-07-12;LSP;Licença Saúde-Particular;;;;;;;;;;;;;
35;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;jader.barbalho@senador.leg.br;PMDB;PA;491;PA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;2632;Fernando Ribeiro;2º Suplente;5416;Francisco Wilson Ribeiro;2761;2015-04-07;2660;2011-12-28;2015-01-30;LS;Licença saúde;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4990;Jorge Viana;Jorge Ney Viana Macedo Neves;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4990.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4990;jorge.viana@senador.leg.br;PT;AC;484;AC;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;288;Nilson Mourão;2º Suplente;5024;Gabriel Maia Gelpke;2604;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
40;José Agripino;José Agripino Maia;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador40.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/40;jose.agripino@senador.leg.br;DEM;RN;481;RN;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;3593;João Faustino;2º Suplente;5130;Valério Djalma Cavalcanti Marinho;2605;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3361;José Maranhão;José Targino Maranhão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3361.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3361;jose.maranhao@senador.leg.br;PMDB;PB;513;PB;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5281;Nilda Gondim;2º Suplente;5601;Roosevelt Vita;2738;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5112;José Medeiros;José Antônio Medeiros;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5112.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5112;josemedeiros@senador.leg.br;PODE;MT;463;MT;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5114;Paulo Pereira Fíuza Filho;;;;2720;2015-01-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;5010;Pedro Taques;;;;;;;;;;;;;;;;;;
615;José Pimentel;José Barroso Pimentel;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/615;jose.pimentel@senador.leg.br;PT;CE;444;CE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;624;Sérgio Novais;2º Suplente;5092;Luis Carlos Paes de Castro;2606;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
90;José Serra;José Serra;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/90;jose.serra@senador.leg.br;PSDB;SP;516;SP;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;878;José Aníbal;2º Suplente;5633;Atilio Francisco;2814;2017-02-23;2739;2015-02-01;2016-05-13;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
