;ID_PROPOSTA;UF_PROPONENTE;MUNIC_PROPONENTE;COD_MUNIC_IBGE;COD_ORGAO_SUP;DESC_ORGAO_SUP;NATUREZA_JURIDICA;NR_PROPOSTA;DIA_PROP;MES_PROP;ANO_PROP;DIA_PROPOSTA;COD_ORGAO;DESC_ORGAO;MODALIDADE;IDENTIF_PROPONENTE;NM_PROPONENTE;CEP_PROPONENTE;ENDERECO_PROPONENTE;BAIRRO_PROPONENTE;NM_BANCO;SITUACAO_CONTA;SITUACAO_PROJETO_BASICO;SIT_PROPOSTA;DIA_INIC_VIGENCIA_PROPOSTA;DIA_FIM_VIGENCIA_PROPOSTA;OBJETO_PROPOSTA;VL_GLOBAL_PROP;VL_REPASSE_PROP;VL_CONTRAPARTIDA_PROP;NR_CONVENIO;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
10;5899;PR;PONTA GROSSA;4119905.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;3284/2008;27;10;2008;27/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;80257355000108;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;84030900;AVENIDA GAL.CARLOS CAVALCANTI. 4748 - UVARANAS. PONTA GROSSA - PR. CEP: 84030-900;UVARANAS;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;31/12/2011;Apoio financeiro destinado à ampliação e readequação so espaço físico do curso de agronomia/bloco F da Universidade Estadual de Ponta Grossa - 2 etapa.;562511.68;450000;112511.68;702922;31;12;2008;31/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.014332/2008-32;150011.0;07/01/2009;31/12/2008;31/12/2011;30;30/01/2012;;1;;2.0;562511.68;450000;112511.68;450000;;;;;
11;6642;MT;CACERES;5102504.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;3974/2008;30;10;2008;30/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;1367770000130;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;78200000;AVENIDA TANCREDO NEVES. 1.095. . - CAVALHADA. CACERES - MT. CEP: 78200-000;CAVALHADA;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;31/12/2011;IMPLANTAÇÃO DE UM BLOCO DE LABORATÓRIOS (ANATOMIA. ENFERMAGEM E FISIOLOGIA) NA CIDADE UNIVERSITÁRIA DA UNEMAT NA CIDADE DE CÁCERES-MT.;1112013.88;1000000;112013.88;702902;31;12;2008;31/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.008889/2008-34;150011.0;06/01/2009;31/12/2008;31/12/2011;30;30/01/2012;;1;;2.0;1112013.88;1000000;112013.88;1000000;;;;;
12;6898;SC;FLORIANOPOLIS;;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;4212/2008;31;10;2008;31/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;83891283000136;FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC;88035001;MADRE BENVENUTA - SANTA MONICA. FLORIANOPOLIS - SC. CEP: 88035-001;SANTA MONICA;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;05/12/2008;28/02/2009;Apoio Financeiro destinado a assegurar a continuidade e a manutenção do Programa de Educação Tutorial – PET.;161107.2;134256;26851.2;700498;5;12;2008;05/12/2008;Prestação de Contas em Complementação;;Publicado;SIM;NÃO;2.30000055942008E+016;150011.0;10/12/2008;05/12/2008;28/02/2009;809;18/05/2011;;1;;;161107.2;134256;26851.2;134256;134256;69184.69;10597.57;;26851.2
13;7563;PR;LONDRINA;4113700.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;4844/2008;3;11;2008;03/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;78640489000153;UNIVERSIDADE ESTADUAL DE LONDRINA;86055900;RODOVIA CELSO GARCIA CD. KM 380. S/N. CAMPUS UNIVERSITARIO - JD PORTAL DE VERSALH. LONDRINA - PR. CEP: 86055-900;JD PORTAL DE VERSALH;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;30/04/2013;Apoio financeiro destinado à eliminação de barreiras arquitetônicas e de comunicação e melhoria das condições materiais da Universidade Estadual de Londrina;1388571.42;1157142.85;231428.57;702878;31;12;2008;31/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.017776/2008-20;150011.0;06/01/2009;31/12/2008;30/04/2013;30;30/05/2013;;1;4.0;1.0;1388571.42;1157142.85;231428.57;1157142.85;1157142.8;110402.36;110402.36;277882;231428.57
14;8180;MG;BELO HORIZONTE;3106200.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;5446/2008;5;11;2008;05/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;65172579000115;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;31630900;"RODOVIA PREFEITO AMERICO GIANETTI 3701. 3701. ANDAR: 8; EDIF: MINAS; CONJ: CIDADE ADMINISTRATIV; - SERRA VERDE (VENDA NOVA). BELO HORIZONTE - MG. CEP: 31630-900";SERRA VERDE (VENDA NOVA);BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2013;Apoio financeiro à Universidade do Estado de Minas Gerais para expansão do Campus de Frutal.;13826563.56;6913281.78;6913281.78;702164;29;12;2008;29/12/2008;Prestação de Contas em Análise;;Publicado;SIM;NÃO;23000.021212/2008-91;150011.0;31/12/2008;30/12/2008;31/12/2013;31;31/01/2014;;1;4.0;1.0;13826563.56;6913281.78;6913281.78;6913281.78;6913281.78;1670824.05;1860555.9;;6913281.78
15;8395;SC;RIO DO SUL;4214805.0;26000;MINISTERIO DA EDUCACAO;Organização da Sociedade Civil;5654/2008;6;11;2008;06/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;85784023000197;FUNDACAO UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI - UNIDAVI -;89160000;Rua Dr. Guilherme Gemballa. 013 - Jardim América. RIO DO SUL - SC. CEP: 89160-000;Jardim América;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;30/12/2009;Apoio financeiro destinado à pagamento de despesas correntes. material de consumo diversos.;120000;100000;20000;701923;26;12;2008;26/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;2.30000145472008E+016;150011.0;31/12/2008;30/12/2008;30/12/2009;504;18/05/2011;;1;1.0;1.0;120000;100000;20000;100000;100000;2751.21;;;20000
16;8467;BA;VITORIA DA CONQUISTA;2933307.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;5726/2008;6;11;2008;06/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;13069489000108;AUTARQUIA UNIVERSIDADE DO SUDOESTE;45028135;ESTD DO BEM QUERER. S/N. KM 04 - CAMPUS UNIVERSITARI. VITORIA DA CONQUISTA - BA. CEP: 45028-135;CAMPUS UNIVERSITARI;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Assessorar juridicamente crianças e adolescentes e seus familiares nos casos de denúncia e apuração da violência sofrida. fomentando a participação dos alunos do curso de Direito. através de ações preventivas e corretivas que visem proporcionar a defesa de seus direitos e garantias.;100000;80000;20000;702094;29;12;2008;29/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.021226/2008-13;150011.0;31/12/2008;30/12/2008;31/12/2011;30;30/01/2012;;1;;2.0;100000;80000;20000;80000;;;;;
17;8699;GO;ANAPOLIS;;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;5958/2008;6;11;2008;06/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;1112580000171;UNIVERSIDADE ESTADUAL DE GOIAS;75132903;RODOVIA BR 153. 3105 - FAZENDA BARREIRO DO MEIO. ANAPOLIS - GO. CEP: 75132-903;FAZENDA BARREIRO DO MEIO;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;31/12/2011;Ampliação do acervo Bibliografico da Universidade Estadual de Goiás - no Estado de Goiás.;333333.5;300000;33333.5;702091;29;12;2008;29/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.022199/2008-98;150011.0;31/12/2008;31/12/2008;31/12/2011;0;31/12/2011;;1;;2.0;333333.5;300000;33333.5;300000;;;;;
18;8845;PR;CASCAVEL;4104808.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;6102/2008;6;11;2008;06/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;78680337000184;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;85814110;RUA UNIVERSITARIA. 1619 - JD UNIVERSITARIO. CASCAVEL - PR. CEP: 85814-110;JD UNIVERSITARIO;CAIXA ECONOMICA FEDERAL;Registrada;Projeto Básico em Análise;Proposta/Plano de Trabalho Aprovados;30/12/2008;30/12/2011;Aquisição de Equipamentos para os Laboratórios do curso de Enfermagem da UNIOESTE – Campus de Foz do Iguaçu.;125000;100000;25000;701424;24;12;2008;24/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.014308/2008-01;150011.0;31/12/2008;30/12/2008;30/12/2011;32;31/01/2012;;1;1.0;2.0;125000;100000;25000;100000;100000;11982.91;;;25000
19;8970;PR;MARINGA;4115200.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;6227/2008;7;11;2008;07/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;79151312000156;UNIVERSIDADE ESTADUAL DE MARINGA;87020900;AVENIDA COLOMBO. 5790. CAMP UNIVERSITARIO - ZONA 07. MARINGA - PR. CEP: 87020-900;ZONA 07;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;30/04/2010;Recursos para aquisição de equipamentos e obras para acessibilidade às edificações para pessoas com necessidades especiais e equipamentos e obras para atendimento a alunos com necessidades especiais na UEM.;1446428.56;1157142.85;289285.71;702851;31;12;2008;31/12/2008;Prestação de Contas Aprovada com Ressalvas;;Publicado;NÃO;NÃO;230000.014305/2008-60;150011.0;06/01/2009;31/12/2008;30/04/2010;383;18/05/2011;;1;;2.0;1446428.56;1157142.85;289285.71;1157142.85;1157142.85;;;;289285.71
20;9491;PR;CASCAVEL;4104808.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;6746/2008;10;11;2008;10/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;78680337000184;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;85814110;RUA UNIVERSITARIA. 1619 - JD UNIVERSITARIO. CASCAVEL - PR. CEP: 85814-110;JD UNIVERSITARIO;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Aquisição de veículo automotor de transporte coletivo. modelo micro-ônibus. com no mínimo 24 lugares. e pneus para a UNIOESTE – Campus de Marechal Cândido Rondon.;168380;120000;48380;701584;23;12;2008;23/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.014329/2008-19;150011.0;24/12/2008;30/12/2008;31/12/2011;31;31/01/2012;;1;;2.0;168380;120000;48380;120000;120000;5330.96;60;;48380
21;9685;PR;CASCAVEL;4104808.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;6938/2008;10;11;2008;10/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;78680337000184;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;85814110;RUA UNIVERSITARIA. 1619 - JD UNIVERSITARIO. CASCAVEL - PR. CEP: 85814-110;JD UNIVERSITARIO;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Ampliação das instalações do espaço físico e aquisição de equipamentos para o desenvolvimento dos projetos de ensino. pesquisa e extensão voltados à equoterapia e à equideocultura na UNIOESTE Campus de Marechal Cândido Rondon.;250810;200000;50810;701952;24;12;2008;24/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.014328/2008-74;150011.0;31/12/2008;30/12/2008;31/12/2011;0;31/12/2011;;1;;2.0;250810;200000;50810;200000;;;;;
22;10004;BA;VITORIA DA CONQUISTA;2933307.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;7253/2008;11;11;2008;11/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;13069489000108;AUTARQUIA UNIVERSIDADE DO SUDOESTE;45028135;ESTD DO BEM QUERER. S/N. KM 04 - CAMPUS UNIVERSITARI. VITORIA DA CONQUISTA - BA. CEP: 45028-135;CAMPUS UNIVERSITARI;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Aquisição de um veículo adaptado para a montagem de um laboratório móvel de informática. possibilitando a inclusão digital a pessoas de comunidades carentes que residem nas zonas urbana e rural da Cidade de Jequié e Região.;222450;200000;22450;702096;29;12;2008;29/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.022118/2008-50;150011.0;31/12/2008;30/12/2008;31/12/2011;30;30/01/2012;;1;;2.0;222450;200000;22450;200000;;;;;
23;10944;PR;CASCAVEL;4104808.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;8181/2008;12;11;2008;12/11/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;78680337000184;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;85814110;RUA UNIVERSITARIA. 1619 - JD UNIVERSITARIO. CASCAVEL - PR. CEP: 85814-110;JD UNIVERSITARIO;CAIXA ECONOMICA FEDERAL;Registrada;Projeto Básico em Análise;Proposta/Plano de Trabalho Aprovados;31/12/2008;30/08/2013;Aquisição de equipamentos.obras de melhorias e adaptações para o Incentivo  a Acessibilidade na Universidade Estadual do Oeste do Paraná.;1467329.54;1157142.85;310186.69;702854;31;12;2008;31/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.014313/2008-14;150011.0;06/01/2009;31/12/2008;30/08/2013;0;30/08/2013;;1;3.0;1.0;1467329.54;1157142.85;310186.69;1157142.85;1157142.85;733.64;;136136.83;310186.69
